Date,N1,N2,N3,N4,N5,FireBall
28.01.2014,4,8,30,32,35,10
24.01.2014,4,9,11,23,27,7
21.01.2014,1,3,4,10,23,7
17.01.2014,6,17,28,31,35,1
14.01.2014,7,8,15,21,32,10
10.01.2014,1,5,9,27,33,7
07.01.2014,14,18,19,21,23,6
03.01.2014,11,16,17,22,24,4
31.12.2013,4,15,27,28,33,2
27.12.2013,10,12,20,22,26,4
24.12.2013,9,21,25,29,34,9
20.12.2013,10,13,21,23,32,9
17.12.2013,7,11,15,31,34,8
13.12.2013,3,21,23,29,32,10
10.12.2013,15,28,29,31,35,7
06.12.2013,9,26,31,32,34,10
03.12.2013,21,24,29,30,32,2
29.11.2013,5,6,19,21,31,7
26.11.2013,12,19,20,23,34,4
22.11.2013,2,6,20,27,33,7
19.11.2013,1,18,27,31,32,4
15.11.2013,14,19,21,25,32,6
12.11.2013,2,4,7,33,35,6
08.11.2013,11,16,17,34,35,1
05.11.2013,10,13,14,27,29,10
01.11.2013,2,16,17,19,20,10
29.10.2013,10,12,22,28,33,4
25.10.2013,5,17,21,29,30,5
22.10.2013,4,15,19,23,30,10
18.10.2013,3,7,11,31,35,5
15.10.2013,9,14,23,25,28,7
11.10.2013,5,7,13,16,33,9
08.10.2013,17,19,21,25,27,5
04.10.2013,2,16,22,30,32,1
01.10.2013,3,5,6,24,29,1
27.09.2013,4,7,14,18,20,4
24.09.2013,3,16,30,31,34,7
20.09.2013,4,15,16,23,29,5
17.09.2013,7,19,26,27,34,2
13.09.2013,3,4,15,16,26,9
10.09.2013,1,16,24,26,30,10
06.09.2013,5,10,23,28,31,7
03.09.2013,15,17,18,27,34,9
30.08.2013,7,8,18,25,33,5
27.08.2013,5,8,21,30,32,8
23.08.2013,1,2,5,22,23,7
20.08.2013,4,21,24,29,34,6
16.08.2013,9,18,25,32,34,1
13.08.2013,1,9,11,14,26,6
09.08.2013,2,13,31,32,34,10
06.08.2013,7,10,13,16,27,6
02.08.2013,5,15,20,27,32,1
30.07.2013,3,10,14,18,30,2
26.07.2013,5,22,25,30,31,9
23.07.2013,2,6,22,32,34,3
19.07.2013,4,22,27,31,33,2
16.07.2013,4,12,19,21,30,7
12.07.2013,7,11,25,29,33,5
09.07.2013,5,9,14,22,30,6
05.07.2013,3,6,22,23,35,8
02.07.2013,10,11,25,28,34,1
28.06.2013,10,13,17,25,33,7
25.06.2013,2,10,15,16,32,8
21.06.2013,10,13,19,22,29,5
18.06.2013,1,2,4,23,25,9
14.06.2013,2,5,8,22,28,9
11.06.2013,9,23,24,25,31,2
07.06.2013,1,3,5,26,35,5
04.06.2013,5,10,14,18,35,4
31.05.2013,8,19,32,33,34,5
28.05.2013,1,4,11,16,30,5
24.05.2013,7,23,24,27,28,2
21.05.2013,6,18,19,29,30,1
17.05.2013,7,15,22,26,33,2
14.05.2013,1,22,23,26,35,4
10.05.2013,1,6,11,22,32,10
07.05.2013,3,13,19,26,28,5
03.05.2013,9,13,15,27,35,9
30.04.2013,6,15,23,25,26,7
26.04.2013,3,20,22,23,27,5
23.04.2013,4,6,7,22,32,9
19.04.2013,5,7,26,29,33,3
16.04.2013,11,21,25,28,35,4
12.04.2013,12,18,21,22,27,10
09.04.2013,4,18,29,32,33,6
05.04.2013,4,6,22,23,26,3
02.04.2013,8,17,22,23,26,2
26.03.2013,1,13,14,21,26,1
22.03.2013,5,10,17,30,34,3
19.03.2013,3,4,7,23,32,7
15.03.2013,13,16,17,20,34,7
12.03.2013,7,12,20,23,34,1
08.03.2013,6,18,23,29,30,2
05.03.2013,6,11,32,34,35,2
01.03.2013,8,19,23,25,33,5
26.02.2013,2,7,14,19,30,10
22.02.2013,1,16,23,28,34,8
19.02.2013,4,11,19,25,27,1
