Date,N1,N2,N3,N4,N5,FireBall
2016-11-08,5,12,33,34,35,2
2016-11-11,3,11,18,24,34,9
2016-11-15,5,11,18,19,22,4
2016-11-18,3,11,12,22,23,8
2016-11-22,7,8,21,27,29,5
2016-11-25,4,15,21,22,25,9
2016-11-29,1,12,14,18,27,8
2016-12-02,4,7,9,14,29,4
2016-12-06,7,11,17,18,27,4
2016-12-09,9,12,23,25,33,5
2016-12-13,12,13,19,20,25,10
2016-12-16,9,15,18,21,34,6
2016-12-20,4,9,20,28,35,7
2016-12-23,10,14,18,19,34,3
2016-12-27,1,7,9,11,23,2
2016-12-30,2,18,19,26,29,1
2017-01-03,14,16,21,22,23,10
2017-01-06,7,9,15,28,35,3
2017-01-10,16,18,20,25,31,8
2017-01-13,12,20,22,27,34,5
2017-01-17,4,23,26,30,33,3
2017-01-20,14,19,26,28,31,7
2017-01-24,6,9,16,21,35,3
2017-01-27,1,15,21,24,34,10
2017-01-31,4,15,21,25,33,2
2017-02-03,4,6,17,19,27,10
2017-02-07,5,9,16,17,27,2
2017-02-10,4,17,26,30,32,10
2017-02-14,2,7,13,15,20,5
2017-02-17,7,17,21,29,32,7
2017-02-21,21,24,27,30,33,6
2017-02-24,3,15,16,23,34,10
2017-02-28,9,10,17,22,34,10
2017-03-03,2,12,15,22,24,3
2017-03-07,14,21,27,33,34,6
2017-03-10,9,14,17,21,30,3
2017-03-14,1,6,11,30,31,10
2017-03-17,4,5,7,8,35,8
2017-03-21,7,22,32,33,35,5
2017-03-24,16,30,31,34,35,8
2017-03-28,16,18,23,34,35,9
2017-03-31,17,19,32,33,35,6
2017-04-04,2,8,13,19,31,10
2017-04-07,3,8,16,28,31,1
2017-04-11,2,7,17,19,26,1
2017-04-18,1,10,14,25,35,6
2017-04-21,1,9,30,31,34,5
2017-04-25,11,13,22,26,34,6
2017-04-28,1,2,10,19,25,6
2017-05-02,9,16,21,25,30,7
2017-05-05,14,15,20,21,28,8
2017-05-09,4,5,8,21,28,1
2017-05-12,2,5,11,25,26,10
2017-05-16,2,24,26,29,30,10
2017-05-19,5,9,14,31,34,10
2017-05-23,4,15,18,20,26,8
2017-05-26,1,6,8,22,31,4
2017-05-30,7,11,13,22,28,6
2017-06-02,11,17,23,27,35,5
2017-06-06,6,13,20,23,26,6
2017-06-09,5,12,14,19,22,6
2017-06-13,7,12,18,27,33,8
2017-06-16,6,9,11,16,19,4
2017-06-20,3,6,15,26,29,3
2017-06-23,7,8,20,26,28,2
2017-06-27,9,11,19,33,34,10
2017-06-30,4,22,24,28,33,10
2017-07-04,23,24,28,34,35,6
2017-07-07,1,5,9,23,27,6
2017-07-11,12,22,23,30,34,9
2017-07-14,1,6,21,27,35,5
2017-07-18,8,9,22,27,34,9
2017-07-21,5,13,19,20,23,1
2017-07-25,14,24,28,29,35,8
2017-07-28,9,13,25,28,35,2
2017-08-01,17,19,21,22,30,3
2017-08-04,5,12,24,25,31,9
2017-08-08,2,9,26,27,30,3
2017-08-11,1,6,17,29,34,2
2017-08-15,1,6,9,29,32,4
2017-08-18,7,14,19,29,32,6
2017-08-22,5,7,33,34,35,10
2017-08-25,5,13,28,29,31,9
2017-08-29,17,18,22,25,28,9
2017-09-01,13,14,15,26,28,6
2017-09-05,5,10,12,23,35,10
2017-09-08,4,7,9,14,15,8
2017-09-12,2,15,20,24,28,4
2017-09-15,5,14,19,26,34,6
2017-09-19,12,13,19,25,32,9
2017-09-22,3,9,13,17,23,4
2017-09-26,1,18,21,26,35,3
2017-09-29,15,16,24,32,34,9
2017-10-03,3,10,11,14,25,6
2017-10-06,1,11,12,27,35,5
2017-10-10,4,24,25,27,34,10
2017-10-13,2,3,5,13,28,8
2017-10-17,16,21,27,29,34,4
2017-10-20,15,19,23,26,35,7
2017-10-24,9,15,28,29,35,7
2017-10-27,1,4,5,23,30,7
2017-10-31,4,12,24,29,32,7
2017-11-03,1,2,3,22,26,2
2017-11-07,1,4,23,26,31,3
2017-11-10,11,21,23,28,29,7
2017-11-14,10,12,17,20,26,7
2017-11-17,1,2,7,13,32,9
2017-11-21,2,4,11,30,31,1
2017-11-24,2,10,19,25,28,9
2017-11-28,4,5,7,8,13,2
2017-12-01,2,5,7,25,27,2
2017-12-05,15,16,28,33,35,1
2017-12-08,7,11,29,30,31,3
2017-12-12,14,17,18,26,35,9
2017-12-15,7,15,17,27,33,7
2017-12-19,7,13,18,22,33,2
2017-12-22,2,9,27,31,35,1
2017-12-26,1,9,10,11,15,8
2017-12-29,1,14,15,20,27,7
2018-01-02,21,24,27,30,31,6
2018-01-05,16,22,29,31,33,10
2018-01-09,14,18,22,23,31,6
2018-01-12,10,19,21,33,34,1
